client,frame,io_time_ms,cpu,ram,frame_size_bytes,cipher_mode
127.0.0.1:55252,1,0.0,0.0,51.72265625,3481,AES-CTR-LIB
127.0.0.1:55252,2,0.0,0.0,51.72265625,2991,AES-CTR-LIB
127.0.0.1:55252,3,0.0,0.0,51.7265625,3443,AES-CTR-LIB
127.0.0.1:55252,4,0.0,0.0,51.7265625,3160,AES-CTR-LIB
127.0.0.1:55252,5,0.0,0.0,51.7265625,3350,AES-CTR-LIB
127.0.0.1:55252,6,0.0,0.0,51.7265625,3190,AES-CTR-LIB
127.0.0.1:55252,7,0.0,0.0,51.7265625,3416,AES-CTR-LIB
127.0.0.1:55252,8,0.0,0.0,51.7265625,3206,AES-CTR-LIB
127.0.0.1:55252,9,0.0,0.0,51.73046875,3375,AES-CTR-LIB
127.0.0.1:55252,10,0.0,0.0,51.73046875,3246,AES-CTR-LIB
127.0.0.1:55252,11,0.0,0.0,51.73046875,3745,AES-CTR-LIB
127.0.0.1:55252,12,0.0,0.0,51.73046875,3758,AES-CTR-LIB
127.0.0.1:55252,13,0.0,33.2,51.73046875,3741,AES-CTR-LIB
127.0.0.1:55252,14,0.0,0.0,51.73046875,3737,AES-CTR-LIB
127.0.0.1:55252,15,0.0,0.0,51.73046875,3637,AES-CTR-LIB
127.0.0.1:55252,16,0.0,0.0,51.73046875,3741,AES-CTR-LIB
127.0.0.1:55252,17,0.0,0.0,51.73046875,3747,AES-CTR-LIB
127.0.0.1:55252,18,0.0,0.0,51.73046875,3658,AES-CTR-LIB
127.0.0.1:55252,19,0.0,0.0,51.73046875,3760,AES-CTR-LIB
127.0.0.1:55252,20,0.0,0.0,51.73046875,3757,AES-CTR-LIB
127.0.0.1:55252,21,0.0,0.0,51.73046875,3732,AES-CTR-LIB
127.0.0.1:55252,22,0.0,0.0,51.734375,3756,AES-CTR-LIB
127.0.0.1:55252,23,0.0,0.0,51.734375,3740,AES-CTR-LIB
